VV FullAbs ResPart Thermal
-5 0.00906619 0.00906433 0.000390042
-4.9 0.00985423 0.00985227 0.000639223
-4.8 0.0107027 0.0107007 0.00104707
-4.7 0.011616 0.0116138 0.0017015
-4.6 0.0126004 0.012598 0.0027262
-4.5 0.0136648 0.0136624 0.00428519
-4.4 0.0148203 0.0148178 0.00658054
-4.3 0.0160791 0.0160765 0.00983806
-4.2 0.0174534 0.0174506 0.0142766
-4.1 0.0189525 0.0189496 0.0200594
-4 0.0205791 0.0205762 0.0272307
-3.9 0.0223227 0.0223197 0.0356462
-3.8 0.0241477 0.0241447 0.0449082
-3.7 0.0259792 0.0259762 0.0543225
-3.6 0.0276915 0.0276884 0.062903
-3.5 0.0291189 0.0291157 0.0694716
-3.4 0.0301224 0.030119 0.0729099
-3.3 0.0307055 0.030702 0.0725432
-3.2 0.0310675 0.0310637 0.0684476
-3.1 0.0315005 0.0314964 0.0614119
-3 0.0322221 0.0322177 0.0525932
-2.9 0.0333073 0.0333027 0.0431476
-2.8 0.0347358 0.034731 0.0340105
-2.7 0.0364573 0.0364524 0.025819
-2.6 0.0384253 0.0384202 0.0189194
-2.5 0.0406058 0.0406006 0.0134162
-2.4 0.0429809 0.0429754 0.00923907
-2.3 0.045548 0.0455424 0.00621283
-2.2 0.0483195 0.0483137 0.00411895
-2.1 0.0513187 0.0513128 0.00274273
-2 0.0545758 0.0545697 0.00190324
-1.9 0.0581214 0.058115 0.00146936
-1.8 0.0619812 0.0619746 0.00136775
-1.7 0.0661716 0.0661648 0.00158886
-1.6 0.070697 0.0706899 0.00219681
-1.5 0.0755492 0.0755418 0.00334676
-1.4 0.0807082 0.0807005 0.00531185
-1.3 0.0861448 0.0861368 0.00851822
-1.2 0.091822 0.0918138 0.0135815
-1.1 0.097697 0.0976886 0.0213304
-1 0.103722 0.103713 0.032794
-0.9 0.109841 0.109833 0.0491208
-0.8 0.115997 0.115989 0.0714004
-0.7 0.122125 0.122116 0.10038
-0.6 0.128155 0.128146 0.136105
-0.5 0.134006 0.133998 0.17759
-0.4 0.139563 0.139555 0.222656
-0.3 0.144639 0.144632 0.268116
-0.2 0.148941 0.148934 0.310338
-0.1 0.152088 0.152081 0.346009
0 0.153738 0.153732 0.372724
0.1 0.153724 0.153717 0.389078
0.2 0.152034 0.152027 0.394369
0.3 0.148765 0.148757 0.388287
0.4 0.14422 0.144212 0.370871
0.5 0.138992 0.138984 0.342742
0.6 0.133792 0.133783 0.305476
0.7 0.129136 0.129126 0.26181
0.8 0.125222 0.125212 0.215372
0.9 0.122032 0.122022 0.169966
1 0.11947 0.11946 0.128771
1.1 0.117434 0.117424 0.0938174
1.2 0.115833 0.115823 0.0658922
1.3 0.114591 0.114581 0.044753
1.4 0.113646 0.113637 0.029501
1.5 0.112952 0.112943 0.0189533
1.6 0.112471 0.112462 0.0119237
1.7 0.11217 0.112162 0.00738534
1.8 0.112017 0.112008 0.00453228
1.9 0.111969 0.111961 0.00277659
2 0.111973 0.111965 0.00171292
2.1 0.111954 0.111946 0.00107428
2.2 0.111815 0.111807 0.000691294
2.3 0.111434 0.111428 0.000459788
2.4 0.11067 0.110664 0.00031731
2.5 0.109364 0.109358 0.000227154
2.6 0.107355 0.107349 0.000168053
2.7 0.104492 0.104486 0.000127768
2.8 0.100657 0.100652 9.92398E-5
2.9 0.0957817 0.0957764 7.8346E-5
3 0.0898639 0.0898586 6.26187E-5
3.1 0.0829795 0.0829742 5.0528E-5
3.2 0.0752842 0.0752788 4.1085E-5
3.3 0.0670057 0.0670002 3.36221E-5
3.4 0.0584259 0.0584204 2.76705E-5
3.5 0.0498544 0.0498488 2.289E-5
3.6 0.0415969 0.0415913 1.90273E-5
3.7 0.0339243 0.0339187 1.58901E-5
3.8 0.0270454 0.0270398 1.33306E-5
3.9 0.0210907 0.0210852 1.12337E-5
4 0.0161081 0.0161028 9.50938E-6
4.1 0.0120718 0.0120667 8.08626E-6
4.2 0.00889901 0.0088942 6.90776E-6
4.3 0.0064724 0.00646791 5.92867E-6
4.4 0.00466073 0.00465659 5.11268E-6
4.5 0.00333562 0.00333183 4.43054E-6
4.6 0.00238234 0.00237889 3.85856E-6
4.7 0.00170513 0.00170199 3.3775E-6
4.8 0.00122809 0.00122525 2.97167E-6
4.9 0.000893552 0.000890971 2.62825E-6
5 0.000659054 0.000656705 2.33674E-6
