VV FullAbs ResPart Thermal
-4 0.00392767 0.00392688 0.00312057
-3.8 0.00654125 0.00654081 0.00645133
-3.6 0.00932769 0.00932737 0.0110812
-3.4 0.0100115 0.0100111 0.0140572
-3.2 0.00781524 0.00781478 0.0127075
-3 0.00486675 0.00486585 0.00829842
-2.8 0.00320366 0.00320247 0.00426431
-2.6 0.0027438 0.00274271 0.0020141
-2.4 0.00282154 0.00282052 0.000996652
-2.2 0.00315283 0.00315179 0.000569117
-2 0.00369661 0.00369549 0.000424744
-1.8 0.00447544 0.0044742 0.000451634
-1.6 0.00551961 0.00551818 0.000640758
-1.4 0.0068645 0.00686278 0.00107071
-1.2 0.00858927 0.00858712 0.00195733
-1 0.0109516 0.0109488 0.00380495
-0.8 0.0147097 0.0147062 0.00776339
-0.6 0.0212365 0.0212329 0.0161762
-0.4 0.0307394 0.0307371 0.0314989
-0.2 0.03981 0.0398088 0.0505711
0 0.044667 0.0446664 0.0648434
0.2 0.0446823 0.0446816 0.0698395
0.4 0.0395861 0.0395848 0.0646951
0.6 0.0296156 0.029613 0.0495272
0.8 0.0203133 0.0203089 0.0295999
1 0.015751 0.0157472 0.0147406
1.2 0.0140227 0.01402 0.00704593
1.4 0.0131237 0.0131216 0.00346829
1.6 0.0123935 0.0123918 0.00178324
1.8 0.0116786 0.0116772 0.000957305
2 0.0109235 0.0109223 0.000533179
2.2 0.0100632 0.0100622 0.000305551
2.4 0.00900582 0.00900485 0.000178992
2.6 0.00766673 0.00766584 0.000106749
2.8 0.00604588 0.00604503 6.46504E-5
3 0.00429043 0.00428961 3.96724E-5
3.2 0.00266412 0.00266334 2.4608E-5
3.4 0.00141281 0.00141208 1.53928E-5
3.6 0.000628884 0.000628219 9.69272E-6
3.8 0.000233596 0.000233025 6.13928E-6
4 7.34817E-5 7.30157E-5 3.91331E-6
