VV FullAbs ResPart Thermal
-5 0.00376052 0.0037593 4.47757E-5
-4.9 0.00407772 0.0040764 7.88423E-5
-4.8 0.00442655 0.00442512 0.000142065
-4.7 0.0048194 0.00481784 0.000259067
-4.6 0.0052758 0.00527409 0.000473658
-4.5 0.0058267 0.00582482 0.000861467
-4.4 0.00652005 0.00651798 0.0015477
-4.3 0.007426 0.00742374 0.00272787
-4.2 0.00863742 0.00863501 0.004683
-4.1 0.0102575 0.010255 0.00776987
-4 0.0123634 0.012361 0.0123536
-3.9 0.0149406 0.0149385 0.0186493
-3.8 0.0178129 0.0178111 0.0264854
-3.7 0.0206237 0.0206221 0.0351125
-3.6 0.0229201 0.0229185 0.0432629
-3.5 0.0243034 0.0243017 0.0495196
-3.4 0.0245533 0.0245515 0.0527595
-3.3 0.0236744 0.0236725 0.0524134
-3.2 0.0218986 0.0218965 0.0485416
-3.1 0.0196634 0.0196609 0.0418274
-3 0.0175166 0.0175136 0.0334769
-2.9 0.0159327 0.0159291 0.0249149
-2.8 0.0151484 0.0151444 0.0173322
-2.7 0.0151454 0.0151412 0.0113632
-2.6 0.0157599 0.0157558 0.00708786
-2.5 0.016805 0.0168009 0.00424606
-2.4 0.0181328 0.0181287 0.00246543
-2.3 0.0196461 0.019642 0.00140093
-2.2 0.0212873 0.0212831 0.000788539
-2.1 0.023025 0.0230207 0.000448409
-2 0.0248443 0.0248399 0.000267754
-1.9 0.0267406 0.026736 0.000180928
-1.8 0.0287152 0.0287103 0.000153759
-1.7 0.0307731 0.030768 0.000174075
-1.6 0.0329225 0.0329171 0.000248436
-1.5 0.0351752 0.0351694 0.000405251
-1.4 0.0375496 0.0375433 0.00070566
-1.3 0.0400765 0.0400698 0.00126529
-1.2 0.0428079 0.0428007 0.00229176
-1.1 0.0458278 0.0458199 0.0041431
-1 0.0492603 0.0492518 0.00740777
-0.9 0.0532643 0.0532553 0.0129903
-0.8 0.0579939 0.0579847 0.0221475
-0.7 0.0635034 0.0634944 0.0363525
-0.6 0.0696058 0.0695977 0.0568208
-0.5 0.0757787 0.0757719 0.0836976
-0.4 0.0812838 0.0812782 0.115452
-0.3 0.0855112 0.0855065 0.149284
-0.2 0.0882746 0.0882704 0.182245
-0.1 0.0897925 0.0897884 0.211716
0 0.0904314 0.0904273 0.235192
0.1 0.0904817 0.0904775 0.25035
0.2 0.0900852 0.0900808 0.255479
0.3 0.0892404 0.0892359 0.249882
0.4 0.0877965 0.0877916 0.23406
0.5 0.0854508 0.0854453 0.209623
0.6 0.081893 0.0818865 0.178911
0.7 0.0771879 0.0771797 0.144557
0.8 0.0720711 0.072061 0.109559
0.9 0.0676194 0.0676081 0.0774207
1 0.0645241 0.0645127 0.0511369
1.1 0.0628191 0.0628082 0.0318823
1.2 0.062172 0.0621618 0.0189957
1.3 0.0622179 0.0622085 0.0109407
1.4 0.0626915 0.0626828 0.00615124
1.5 0.0634258 0.0634175 0.00340476
1.6 0.064314 0.0643062 0.00187
1.7 0.0652778 0.0652705 0.00102742
1.8 0.0662467 0.0662398 0.000569857
1.9 0.0671456 0.067139 0.000322399
2 0.0678868 0.0678806 0.000188102
2.1 0.0683663 0.0683605 0.000114271
2.2 0.0684618 0.0684563 7.2696E-5
2.3 0.0680358 0.0680307 4.84461E-5
2.4 0.0669446 0.0669398 3.36685E-5
2.5 0.0650536 0.0650491 2.42289E-5
2.6 0.0622585 0.0622541 1.79252E-5
2.7 0.0585095 0.0585053 1.35544E-5
2.8 0.0538338 0.0538296 1.04334E-5
2.9 0.0483489 0.0483447 8.1553E-6
3 0.0422633 0.042259 6.46504E-6
3.1 0.0358601 0.0358557 5.19511E-6
3.2 0.0294648 0.0294603 4.23126E-6
3.3 0.0234013 0.0233969 3.49325E-6
3.4 0.0179459 0.0179415 2.92356E-6
3.5 0.0132885 0.0132842 2.48028E-6
3.6 0.00951385 0.00950969 2.13254E-6
3.7 0.00660508 0.00660114 1.85737E-6
3.8 0.00446783 0.00446418 1.63764E-6
3.9 0.00296414 0.00296082 1.46042E-6
4 0.00194538 0.0019424 1.31599E-6
4.1 0.00127603 0.00127338 1.19697E-6
4.2 0.000846065 0.000843702 1.09774E-6
4.3 0.000573521 0.000571419 1.01406E-6
4.4 0.000401335 0.000399458 9.42657E-7
4.5 0.000291745 0.000290059 8.81034E-7
4.6 0.000220699 0.000219174 8.27273E-7
4.7 0.000173283 0.000171893 7.79892E-7
4.8 0.000140413 0.000139139 7.37741E-7
4.9 0.000116619 0.000115443 6.99921E-7
5 9.86202E-5 9.75297E-5 6.65728E-7
