VV FullAbs ResPart Thermal
-5 0.00834782 0.00834638 0.000747808
-4.9 0.00928239 0.00928088 0.00102741
-4.8 0.0102221 0.0102206 0.00143669
-4.7 0.011158 0.0111564 0.00204167
-4.6 0.0120851 0.0120834 0.00293809
-4.5 0.0130032 0.0130014 0.00425824
-4.4 0.0139174 0.0139155 0.00617286
-4.3 0.014838 0.0148361 0.00888192
-4.2 0.0157792 0.0157772 0.0125868
-4.1 0.016755 0.0167529 0.0174389
-4 0.017773 0.0177709 0.0234677
-3.9 0.0188248 0.0188226 0.0305043
-3.8 0.0198781 0.0198759 0.038129
-3.7 0.0208754 0.0208731 0.0456766
-3.6 0.0217443 0.0217419 0.0523221
-3.5 0.0224213 0.0224188 0.0572314
-3.4 0.0228782 0.0228755 0.0597367
-3.3 0.0231407 0.0231378 0.0594846
-3.2 0.0232874 0.0232843 0.0565138
-3.1 0.0234283 0.0234249 0.0512477
-3 0.0236744 0.0236708 0.0443998
-2.9 0.0241153 0.0241114 0.0368179
-2.8 0.0248129 0.0248088 0.0293091
-2.7 0.0258096 0.0258052 0.0224989
-2.6 0.0271396 0.027135 0.0167609
-2.5 0.0288369 0.0288322 0.0122255
-2.4 0.0309365 0.0309316 0.00883947
-2.3 0.0334712 0.0334662 0.00644425
-2.2 0.0364659 0.0364608 0.00484534
-2.1 0.0399318 0.0399266 0.00386049
-2 0.0438607 0.0438554 0.0033453
-1.9 0.0482219 0.0482166 0.00320286
-1.8 0.0529608 0.0529554 0.00338527
-1.7 0.0579998 0.0579943 0.00389402
-1.6 0.0632427 0.0632371 0.00478411
-1.5 0.0685816 0.0685759 0.00617512
-1.4 0.0739062 0.0739004 0.00827118
-1.3 0.0791154 0.0791095 0.0113896
-1.2 0.0841292 0.0841231 0.0159943
-1.1 0.0888998 0.0888936 0.0227223
-1 0.0934196 0.0934132 0.032381
-0.9 0.097722 0.0977155 0.0458844
-0.8 0.101874 0.101867 0.064091
-0.7 0.105956 0.105949 0.0875371
-0.6 0.110033 0.110026 0.116116
-0.5 0.114123 0.114116 0.148835
-0.4 0.118173 0.118167 0.183805
-0.3 0.122067 0.122061 0.218543
-0.2 0.125653 0.125646 0.250467
-0.1 0.128786 0.12878 0.277333
0 0.131366 0.13136 0.297473
0.1 0.133343 0.133336 0.309808
0.2 0.134707 0.134701 0.313748
0.3 0.135487 0.135481 0.309081
0.4 0.135746 0.135739 0.295938
0.5 0.135593 0.135586 0.274861
0.6 0.135174 0.135167 0.246945
0.7 0.134633 0.134625 0.213968
0.8 0.134066 0.134059 0.178362
0.9 0.133501 0.133494 0.142914
1 0.132904 0.132896 0.110216
1.1 0.132208 0.132201 0.0821205
1.2 0.131344 0.131337 0.059469
1.3 0.130249 0.130242 0.0421749
1.4 0.128867 0.12886 0.0295404
1.5 0.127153 0.127146 0.0206098
1.6 0.125058 0.125051 0.0144342
1.7 0.12253 0.122524 0.0102112
1.8 0.119509 0.119503 0.00732763
1.9 0.115921 0.115915 0.0053449
2 0.111687 0.111681 0.00396337
2.1 0.106728 0.106723 0.00298395
2.2 0.100983 0.100977 0.00227631
2.3 0.0944184 0.0944132 0.00175543
2.4 0.0870544 0.0870492 0.00136553
2.5 0.0789711 0.0789657 0.00106949
2.6 0.0703158 0.0703103 0.000842072
2.7 0.0613001 0.0612945 0.000665775
2.8 0.0521875 0.0521818 0.000528129
2.9 0.0432743 0.0432684 0.000420063
3 0.0348623 0.0348563 0.000334851
3.1 0.0272262 0.0272201 0.000267427
3.2 0.0205792 0.0205731 0.00021393
3.3 0.0150449 0.0150389 0.000171386
3.4 0.0106444 0.0106386 0.000137488
3.5 0.00730351 0.00729799 0.000110437
3.6 0.00487842 0.00487327 8.88217E-5
3.7 0.00319037 0.00318566 7.15304E-5
3.8 0.00205849 0.00205425 5.76847E-5
3.9 0.00132294 0.00131916 4.65882E-5
4 0.000856166 0.0008528 3.76878E-5
4.1 0.000564213 0.00056121 3.05432E-5
4.2 0.000382274 0.000379583 2.48032E-5
4.3 0.000267938 0.000265511 2.01878E-5
4.4 0.000194581 0.000192377 1.64731E-5
4.5 0.000146012 0.000144 1.34802E-5
4.6 0.000112596 0.000110747 1.10661E-5
4.7 8.86631E-5 8.69545E-5 9.11643E-6
4.8 7.08758E-5 6.92895E-5 7.53956E-6
4.9 5.72461E-5 5.57674E-5 6.26223E-6
5 4.65585E-5 4.51747E-5 5.22575E-6
