VV FullAbs ResPart Thermal
-5 0.00298576 0.00298486 0.000147355
-4.9 0.00327254 0.00327157 0.000214673
-4.8 0.00357507 0.00357403 0.000321357
-4.7 0.00390116 0.00390002 0.000492287
-4.6 0.00426545 0.00426419 0.000767036
-4.5 0.00469339 0.004692 0.00120677
-4.4 0.00522616 0.00522462 0.00190259
-4.3 0.00592489 0.0059232 0.00298375
-4.2 0.00687063 0.00686882 0.00462204
-4.1 0.00815344 0.00815158 0.0070236
-4 0.00984192 0.00984015 0.0103917
-3.9 0.0119292 0.0119277 0.0148388
-3.8 0.0142723 0.014271 0.0202444
-3.7 0.0165712 0.0165701 0.026125
-3.6 0.0184312 0.01843 0.0316529
-3.5 0.0194888 0.0194876 0.035887
-3.4 0.0195329 0.0195316 0.0380774
-3.3 0.0185707 0.0185694 0.0378459
-3.2 0.016845 0.0168434 0.0352323
-3.1 0.0147911 0.0147893 0.0306918
-3 0.0129019 0.0128996 0.02503
-2.9 0.0115404 0.0115376 0.019191
-2.8 0.0108364 0.0108334 0.0139499
-2.7 0.0107295 0.0107265 0.00971694
-2.6 0.011083 0.0110801 0.00655712
-2.5 0.0117697 0.0117668 0.00433204
-2.4 0.0127015 0.0126986 0.00283386
-2.3 0.0138253 0.0138224 0.00186258
-2.2 0.0151095 0.0151066 0.00125621
-2.1 0.0165326 0.0165296 0.000895929
-2 0.0180771 0.0180739 0.000701057
-1.9 0.0197263 0.019723 0.000621527
-1.8 0.0214641 0.0214607 0.000631348
-1.7 0.023275 0.0232714 0.000724697
-1.6 0.0251455 0.0251416 0.000915534
-1.5 0.0270661 0.0270621 0.00124152
-1.4 0.029036 0.0290316 0.00177328
-1.3 0.0310681 0.0310634 0.00263044
-1.2 0.0331989 0.0331938 0.0040059
-1.1 0.0354987 0.0354931 0.00619882
-1 0.0380801 0.038074 0.00965322
-0.9 0.0410943 0.0410878 0.0149909
-0.8 0.0446988 0.044692 0.0230076
-0.7 0.0489824 0.0489757 0.0345674
-0.6 0.053855 0.0538489 0.0503008
-0.5 0.0589663 0.0589612 0.0700952
-0.4 0.0637648 0.0637606 0.092686
-0.3 0.067725 0.0677215 0.115918
-0.2 0.0705875 0.0705844 0.137633
-0.1 0.0724152 0.0724123 0.156235
0 0.0734467 0.0734438 0.170532
0.1 0.0739067 0.0739037 0.179526
0.2 0.0738978 0.0738947 0.18248
0.3 0.0733617 0.0733585 0.179102
0.4 0.0720679 0.0720643 0.169623
0.5 0.0696815 0.0696775 0.15472
0.6 0.0660447 0.0660397 0.135335
0.7 0.0615732 0.0615666 0.112683
0.8 0.0572199 0.0572119 0.0886372
0.9 0.0538379 0.0538295 0.0657557
1 0.0516908 0.0516826 0.0463109
1.1 0.050563 0.0505554 0.0313232
1.2 0.0501031 0.0500962 0.0205905
1.3 0.0500243 0.0500179 0.0132929
1.4 0.0501424 0.0501366 0.00850556
1.5 0.0503485 0.050343 0.00544052
1.6 0.0505755 0.0505704 0.00350759
1.7 0.0507768 0.050772 0.00229678
1.8 0.0509131 0.0509085 0.00153715
1.9 0.0509456 0.0509413 0.00105595
2 0.0508317 0.0508276 0.000745787
2.1 0.0505215 0.0505177 0.000541001
2.2 0.0499568 0.0499533 0.000401861
2.3 0.0490709 0.0490675 0.000304396
2.4 0.0477923 0.0477892 0.000234088
2.5 0.0460529 0.0460499 0.000182046
2.6 0.0437988 0.043796 0.00014271
2.7 0.0410046 0.0410018 0.000112506
2.8 0.0376857 0.0376829 8.90504E-5
2.9 0.0339068 0.033904 7.06952E-5
3 0.0297832 0.0297804 5.62578E-5
3.1 0.0254733 0.0254704 4.48639E-5
3.2 0.0211622 0.0211593 3.58518E-5
3.3 0.0170397 0.0170368 2.87123E-5
3.4 0.0132754 0.0132725 2.30491E-5
3.5 0.00999656 0.00999368 1.85519E-5
3.6 0.00727359 0.00727078 1.49765E-5
3.7 0.0051174 0.00511469 1.21304E-5
3.8 0.00348768 0.0034851 9.86155E-6
3.9 0.00230946 0.00230706 8.04989E-6
4 0.00149219 0.00148999 6.60056E-6
4.1 0.00094603 0.000944049 5.4386E-6
4.2 0.000592638 0.000590864 4.50477E-6
4.3 0.000369934 0.00036835 3.75226E-6
4.4 0.000232326 0.000230909 3.14407E-6
4.5 0.000148323 0.000147049 2.65094E-6
4.6 9.72227E-5 9.60708E-5 2.24971E-6
4.7 6.59471E-5 6.48985E-5 1.92204E-6
4.8 4.64845E-5 4.55238E-5 1.65342E-6
4.9 3.40403E-5 3.31548E-5 1.43229E-6
5 2.57921E-5 2.49715E-5 1.24948E-6
