VV FullAbs ResPart Thermal
-5 0.00536222 0.00536108 0.000153401
-4.9 0.00589843 0.00589722 0.0002655
-4.8 0.00648758 0.0064863 0.000454326
-4.7 0.00713543 0.00713408 0.000765266
-4.6 0.00784883 0.00784741 0.00126481
-4.5 0.00863543 0.00863395 0.00204604
-4.4 0.00950318 0.00950163 0.00323192
-4.3 0.0104593 0.0104577 0.00497321
-4.2 0.0115091 0.0115074 0.00743618
-4.1 0.0126539 0.0126522 0.0107762
-4 0.0138883 0.0138866 0.0150951
-3.9 0.0151953 0.0151936 0.0203848
-3.8 0.0165381 0.0165364 0.0264628
-3.7 0.017848 0.0178463 0.032909
-3.6 0.0190118 0.0190101 0.0390253
-3.5 0.0198763 0.0198745 0.0438706
-3.4 0.0203009 0.020299 0.0464658
-3.3 0.0202598 0.0202578 0.0461856
-3.2 0.019897 0.0198949 0.0431015
-3.1 0.0194491 0.0194468 0.0379387
-3 0.019105 0.0191024 0.0316952
-2.9 0.0189467 0.018944 0.0252752
-2.8 0.0189878 0.018985 0.0193239
-2.7 0.0192238 0.0192208 0.0142121
-2.6 0.0196526 0.0196496 0.0100846
-2.5 0.0202772 0.020274 0.00692424
-2.4 0.0211032 0.0210999 0.00461555
-2.3 0.0221385 0.022135 0.00299933
-2.2 0.0233922 0.0233887 0.00191249
-2.1 0.0248746 0.0248709 0.00121232
-2 0.0265961 0.0265922 0.000787714
-1.9 0.0285669 0.0285629 0.000562102
-1.8 0.0307965 0.0307923 0.000493058
-1.7 0.0332929 0.0332886 0.000572416
-1.6 0.0360627 0.0360582 0.000829672
-1.5 0.0391104 0.0391057 0.00134062
-1.4 0.0424387 0.0424337 0.00224257
-1.3 0.0460482 0.0460431 0.0037566
-1.2 0.049937 0.0499317 0.00621582
-1.1 0.0540992 0.0540937 0.0100949
-1 0.0585228 0.0585172 0.0160309
-0.9 0.0631876 0.0631818 0.024817
-0.8 0.0680615 0.0680556 0.037346
-0.7 0.0730985 0.0730926 0.0544766
-0.6 0.0782342 0.0782284 0.076811
-0.5 0.0833781 0.0833725 0.104398
-0.4 0.0883949 0.0883896 0.136423
-0.3 0.0930707 0.0930657 0.171011
-0.2 0.0970758 0.0970711 0.205311
-0.1 0.0999787 0.0999743 0.235991
0 0.101372 0.101368 0.260022
0.1 0.101026 0.101022 0.275254
0.2 0.0988989 0.0988944 0.280424
0.3 0.0950962 0.0950912 0.274915
0.4 0.0899705 0.0899651 0.258841
0.5 0.0841976 0.0841917 0.23345
0.6 0.0785483 0.078542 0.201316
0.7 0.0735417 0.0735351 0.165929
0.8 0.0693437 0.069337 0.130847
0.9 0.0659128 0.0659062 0.0989102
1 0.0631492 0.0631427 0.0718488
1.1 0.0609545 0.0609481 0.0502936
1.2 0.0592418 0.0592356 0.0340272
1.3 0.0579376 0.0579315 0.0223201
1.4 0.0569821 0.056976 0.0142374
1.5 0.0563291 0.0563232 0.00885655
1.6 0.0559457 0.0559399 0.00538755
1.7 0.0558092 0.0558035 0.0032139
1.8 0.0559046 0.055899 0.00188633
1.9 0.0562211 0.0562155 0.00109403
2 0.0567482 0.0567427 0.000630844
2.1 0.0574721 0.0574667 0.000364805
2.2 0.0583718 0.0583665 0.000214037
2.3 0.0594149 0.0594098 0.000129198
2.4 0.0605542 0.0605492 8.13523E-5
2.5 0.0617238 0.061719 5.39624E-5
2.6 0.0628367 0.0628321 3.7798E-5
2.7 0.0637841 0.0637798 2.78116E-5
2.8 0.0644373 0.0644333 2.12846E-5
2.9 0.0646536 0.0646497 1.67634E-5
3 0.0642867 0.0642831 1.34668E-5
3.1 0.0632025 0.063199 1.09657E-5
3.2 0.0612965 0.0612933 9.01472E-6
3.3 0.0585138 0.0585106 7.46501E-6
3.4 0.054864 0.0548607 6.21969E-6
3.5 0.0504301 0.0504268 5.21154E-6
3.6 0.0453673 0.0453639 4.39128E-6
3.7 0.0398898 0.0398863 3.72139E-6
3.8 0.0342477 0.0342442 3.17258E-6
3.9 0.0286975 0.0286938 2.72165E-6
4 0.0234709 0.0234672 2.35006E-6
4.1 0.0187497 0.018746 2.04291E-6
4.2 0.0146498 0.0146462 1.78818E-6
4.3 0.0112184 0.011215 1.57618E-6
4.4 0.0084421 0.00843881 1.39907E-6
4.5 0.00626261 0.00625954 1.25049E-6
4.6 0.0045958 0.00459297 1.12529E-6
4.7 0.00334841 0.00334583 1.0193E-6
4.8 0.00243074 0.0024284 9.29111E-7
4.9 0.00176412 0.00176201 8.51968E-7
5 0.00128401 0.00128211 7.85619E-7
