VV FullAbs ResPart Thermal
-5 0.00536472 0.00536318 0.000252852
-4.9 0.00953159 0.00952921 0.000586989
-4.8 0.0107575 0.0107549 0.000960094
-4.7 0.0125686 0.0125649 0.00155641
-4.6 0.0143031 0.0142991 0.0024844
-4.5 0.0163373 0.016333 0.00389486
-4.4 0.0187652 0.0187605 0.00598338
-4.3 0.0216661 0.0216611 0.00899666
-4.2 0.0251148 0.0251095 0.013239
-4.1 0.0291644 0.0291589 0.0190795
-4 0.033821 0.0338155 0.0269452
-3.9 0.0390123 0.0390069 0.0372416
-3.8 0.0445383 0.0445333 0.0500877
-3.7 0.0499874 0.049983 0.0648104
-3.6 0.0546248 0.0546209 0.0795023
-3.5 0.0573979 0.057394 0.0913084
-3.4 0.0573048 0.0573005 0.097575
-3.3 0.0540773 0.0540725 0.0968903
-3.2 0.0486203 0.0486145 0.0894024
-3.1 0.0426567 0.0426498 0.0768164
-3 0.0377597 0.0377517 0.0619353
-2.9 0.0346253 0.034617 0.0474898
-2.8 0.0331504 0.033142 0.0351287
-2.7 0.0329307 0.0329224 0.0253297
-2.6 0.0335955 0.0335873 0.0178925
-2.5 0.0348897 0.0348815 0.0123993
-2.4 0.0366587 0.0366504 0.00843418
-2.3 0.0388223 0.0388138 0.00564355
-2.2 0.0413542 0.0413454 0.00373891
-2.1 0.0442673 0.0442581 0.00249129
-2 0.0476019 0.0475923 0.00172745
-1.9 0.0514174 0.0514073 0.00132831
-1.8 0.0557855 0.0557747 0.00122896
-1.7 0.0607871 0.0607755 0.00142172
-1.6 0.0665117 0.0664993 0.00196411
-1.5 0.0730606 0.0730471 0.00299422
-1.4 0.0805511 0.0805366 0.00475492
-1.3 0.0891224 0.0891066 0.00762687
-1.2 0.0989353 0.0989183 0.0121683
-1.1 0.110162 0.110144 0.0191566
-1 0.122958 0.122939 0.0296248
-0.9 0.137407 0.137387 0.044883
-0.8 0.15345 0.15343 0.0665059
-0.7 0.170816 0.170796 0.0962408
-0.6 0.188989 0.188969 0.135694
-0.5 0.207232 0.207213 0.185549
-0.4 0.224608 0.224592 0.244267
-0.3 0.239963 0.239949 0.307243
-0.2 0.251911 0.251899 0.367801
-0.1 0.259041 0.259032 0.419105
0 0.260171 0.260163 0.455465
0.1 0.254513 0.254505 0.473903
0.2 0.242333 0.242324 0.474179
0.3 0.225525 0.225513 0.457161
0.4 0.206543 0.206527 0.42535
0.5 0.186782 0.186764 0.382996
0.6 0.167014 0.166993 0.333431
0.7 0.14868 0.148657 0.278555
0.8 0.133368 0.133345 0.22185
0.9 0.121587 0.121565 0.168732
1 0.112883 0.112863 0.12344
1.1 0.106525 0.106507 0.087451
1.2 0.101843 0.101827 0.0602443
1.3 0.0983267 0.0983115 0.0404491
1.4 0.095614 0.0956001 0.0265168
1.5 0.093467 0.0934541 0.0170087
1.6 0.0917344 0.0917224 0.0107054
1.7 0.0903027 0.0902916 0.00663748
1.8 0.0891404 0.0891301 0.00407471
1.9 0.0882064 0.0881967 0.00249317
2 0.0874403 0.0874311 0.00153279
2.1 0.0867905 0.0867819 0.000955733
2.2 0.0861907 0.0861825 0.00061021
2.3 0.0855552 0.0855475 0.000402235
2.4 0.0847785 0.0847713 0.000275124
2.5 0.0837378 0.0837311 0.00019542
2.6 0.0822998 0.0822935 0.000143698
2.7 0.0803317 0.0803257 0.00010879
2.8 0.0777155 0.0777098 8.42789E-5
2.9 0.0743647 0.0743592 6.64463E-5
3 0.0702402 0.0702349 5.30878E-5
3.1 0.0653623 0.0653571 4.28531E-5
3.2 0.0598169 0.0598117 3.48794E-5
3.3 0.0537519 0.0537467 2.85898E-5
3.4 0.0473655 0.0473604 2.35821E-5
3.5 0.0408863 0.0408812 1.95656E-5
3.6 0.0345482 0.0345432 1.63243E-5
3.7 0.028566 0.028561 1.36947E-5
3.8 0.0231136 0.0231087 1.1551E-5
3.9 0.0183101 0.0183053 9.79568E-6
4 0.0142149 0.0142102 8.3522E-6
4.1 0.0108309 0.0108264 7.16032E-6
4.2 0.00811558 0.00811132 6.17228E-6
4.3 0.0059949 0.00599089 5.35008E-6
4.4 0.00437842 0.00437467 4.66327E-6
4.5 0.00317211 0.00316864 4.08743E-6
4.6 0.00228781 0.00228461 3.60282E-6
4.7 0.00164874 0.00164581 3.19349E-6
4.8 0.00119176 0.00118907 2.84644E-6
4.9 0.000867233 0.000864759 2.55109E-6
5 0.000637509 0.000635234 2.29879E-6
