VV FullAbs ResPart Thermal
-4 0.00491718 0.00491625 0.0027373
-3.9 0.00597564 0.0059747 0.00401665
-3.8 0.00724545 0.00724456 0.00589017
-3.7 0.00869606 0.00869531 0.00850001
-3.6 0.0101701 0.0101696 0.0117394
-3.5 0.0112864 0.011286 0.0149523
-3.4 0.0115002 0.0114997 0.0169419
-3.3 0.0105213 0.0105207 0.0167186
-3.2 0.00870528 0.00870454 0.0144032
-3.1 0.00677066 0.00676963 0.0111074
-3 0.00520361 0.00520235 0.00796028
-2.9 0.00410297 0.00410167 0.00549696
-2.8 0.0033804 0.00337913 0.0037541
-2.7 0.00292689 0.00292567 0.00257146
-2.6 0.0026634 0.00266222 0.00177565
-2.5 0.00254059 0.00253943 0.00123732
-2.4 0.00252966 0.00252851 0.000871385
-2.3 0.00261527 0.00261411 0.000623703
-2.2 0.00279059 0.00278941 0.00045941
-2.1 0.00305401 0.00305279 0.000355543
-2 0.00340674 0.00340547 0.000296997
-1.9 0.00385142 0.00385008 0.000274521
-1.8 0.00439165 0.00439022 0.000283887
-1.7 0.00503245 0.0050309 0.000325825
-1.6 0.00578182 0.00578013 0.00040657
-1.5 0.00665327 0.0066514 0.000539062
-1.4 0.00766905 0.00766697 0.00074486
-1.3 0.00886377 0.00886144 0.00105693
-1.2 0.0102875 0.0102849 0.00152354
-1.1 0.012008 0.0120051 0.00221378
-1 0.0141108 0.0141076 0.00322587
-0.9 0.016698 0.0166944 0.00470059
-0.8 0.0198847 0.0198808 0.00684365
-0.7 0.023794 0.0237896 0.00996124
-0.6 0.0285481 0.0285435 0.0145064
-0.5 0.0342482 0.0342435 0.0211055
-0.4 0.0409174 0.0409129 0.0304625
-0.3 0.0483718 0.0483679 0.042953
-0.2 0.0560023 0.0559992 0.0578712
-0.1 0.0626441 0.0626414 0.0730134
0 0.0670197 0.0670177 0.0856727
0.1 0.0685337 0.0685323 0.0942176
0.2 0.0670786 0.067077 0.0979196
0.3 0.0622923 0.0622899 0.0957127
0.4 0.0542404 0.0542374 0.0867329
0.5 0.0444605 0.0444568 0.0721043
0.6 0.0351897 0.0351849 0.0552547
0.7 0.0277829 0.0277776 0.0398635
0.8 0.0223785 0.0223735 0.0278076
0.9 0.0185482 0.0185438 0.0191486
1 0.0158167 0.0158128 0.0131576
1.1 0.0138205 0.0138171 0.00904846
1.2 0.0123076 0.0123047 0.00622223
1.3 0.0111077 0.0111052 0.00427151
1.4 0.0101072 0.010105 0.00292542
1.5 0.00923216 0.00923028 0.00200073
1.6 0.00843544 0.00843378 0.00137007
1.7 0.00768819 0.00768671 0.000943259
1.8 0.00697385 0.00697252 0.000656151
1.9 0.00628403 0.00628282 0.000463473
2 0.00561579 0.00561468 0.000333792
2.1 0.00496977 0.00496874 0.000245703
2.2 0.00434892 0.00434795 0.000184917
2.3 0.00375762 0.00375671 0.000142067
2.4 0.00320103 0.00320017 0.000111093
2.5 0.00268451 0.0026837 8.81093E-5
2.6 0.00221309 0.00221232 7.06261E-5
2.7 0.00179097 0.00179025 5.70377E-5
2.8 0.00142101 0.00142032 4.6292E-5
2.9 0.00110434 0.00110369 3.76831E-5
3 0.000840157 0.00083954 3.07225E-5
3.1 0.000625718 0.000625138 2.50611E-5
3.2 0.000456585 0.000456041 2.04399E-5
3.3 0.000327069 0.00032656 1.66615E-5
3.4 0.000230786 0.000230312 1.3571E-5
3.5 0.000161245 0.000160804 1.10443E-5
3.6 0.000112345 0.000111937 8.98109E-6
3.7 7.87436E-5 7.83663E-5 7.29876E-6
3.8 5.60446E-5 5.56954E-5 5.92938E-6
3.9 4.08369E-5 4.05131E-5 4.81672E-6
4 3.06145E-5 3.03134E-5 3.91423E-6
