VV FullAbs ResPart Thermal
-5 0.0031121 0.00311118 0.000146431
-4.9 0.00340253 0.00340154 0.000214842
-4.8 0.00370834 0.00370726 0.000323861
-4.7 0.00403784 0.00403667 0.000499397
-4.6 0.00440625 0.00440496 0.000782856
-4.5 0.00483957 0.00483815 0.00123855
-4.4 0.00537936 0.00537779 0.00196264
-4.3 0.00608687 0.00608514 0.00309178
-4.2 0.00704278 0.00704093 0.00480713
-4.1 0.00833597 0.00833408 0.00732443
-4 0.0100327 0.0100309 0.0108533
-3.9 0.0121231 0.0121216 0.0155048
-3.8 0.014462 0.0144607 0.0211462
-3.7 0.0167505 0.0167493 0.0272713
-3.6 0.0185985 0.0185973 0.0330223
-3.5 0.0196497 0.0196484 0.0374259
-3.4 0.0196998 0.0196985 0.0397042
-3.3 0.0187618 0.0187603 0.0394632
-3.2 0.0170821 0.0170805 0.0367444
-3.1 0.0150958 0.0150939 0.0320217
-3 0.0132889 0.0132866 0.02613
-2.9 0.0120142 0.0120113 0.0200458
-2.8 0.0113932 0.0113902 0.014573
-2.7 0.0113633 0.0113602 0.010143
-2.6 0.0117888 0.0117858 0.0068307
-2.5 0.0125448 0.0125418 0.00449729
-2.4 0.013545 0.0135421 0.00292767
-2.3 0.0147372 0.0147342 0.00191202
-2.2 0.0160897 0.0160867 0.00127925
-2.1 0.0175808 0.0175776 0.000903597
-2 0.0191919 0.0191887 0.000699761
-1.9 0.0209058 0.0209024 0.000614932
-1.8 0.0227048 0.0227013 0.000621703
-1.7 0.0245724 0.0245687 0.000713789
-1.6 0.0264942 0.0264903 0.000905485
-1.5 0.0284607 0.0284565 0.0012357
-1.4 0.0304716 0.0304671 0.00177766
-1.3 0.0325416 0.0325367 0.00265583
-1.2 0.034709 0.0347037 0.00407168
-1.1 0.0370461 0.0370403 0.0063388
-1 0.0396661 0.0396598 0.00992402
-0.9 0.0427182 0.0427116 0.0154818
-0.8 0.046354 0.0463471 0.0238485
-0.7 0.050652 0.0506452 0.0359296
-0.6 0.0555123 0.0555061 0.0523856
-0.5 0.0605842 0.060579 0.0731112
-0.4 0.0653307 0.0653264 0.0968243
-0.3 0.0692473 0.0692437 0.121323
-0.2 0.07209 0.0720867 0.144363
-0.1 0.0739268 0.0739237 0.164213
0 0.0749934 0.0749903 0.179533
0.1 0.0755081 0.075505 0.189194
0.2 0.0755669 0.0755637 0.192374
0.3 0.075106 0.0751026 0.188749
0.4 0.0738921 0.0738883 0.178573
0.5 0.0715945 0.0715902 0.162608
0.6 0.0680709 0.0680656 0.141932
0.7 0.063752 0.0637452 0.117922
0.8 0.0595786 0.0595705 0.0925902
0.9 0.0563707 0.0563621 0.0685829
1 0.0543686 0.0543602 0.048219
1.1 0.0533555 0.0533477 0.0325361
1.2 0.0529893 0.0529822 0.0213178
1.3 0.0529933 0.0529868 0.0137054
1.4 0.0531905 0.0531844 0.00872684
1.5 0.053476 0.0534703 0.00555142
1.6 0.0537853 0.0537799 0.00355743
1.7 0.0540725 0.0540674 0.00231412
1.8 0.0542983 0.0542935 0.00153801
1.9 0.0544233 0.0544187 0.00104912
2 0.0544033 0.054399 0.000735992
2.1 0.0541865 0.0541824 0.000530706
2.2 0.0537113 0.0537075 0.000392259
2.3 0.0529064 0.0529028 0.000295979
2.4 0.0516939 0.0516906 0.000226974
2.5 0.049997 0.0499939 0.000176166
2.6 0.0477512 0.0477482 0.000137917
2.7 0.0449193 0.0449163 0.00010863
2.8 0.0415055 0.0415026 8.59306E-5
2.9 0.0375664 0.0375634 6.81889E-5
3 0.0332135 0.0332105 5.42456E-5
3.1 0.0286082 0.0286052 4.32483E-5
3.2 0.0239461 0.023943 3.4554E-5
3.3 0.0194342 0.0194311 2.76694E-5
3.4 0.0152647 0.0152616 2.22109E-5
3.5 0.0115892 0.0115861 1.78783E-5
3.6 0.00850097 0.00849795 1.44354E-5
3.7 0.00602769 0.00602475 1.16963E-5
3.8 0.00413807 0.00413528 9.51373E-6
3.9 0.00275818 0.00275558 7.77182E-6
4 0.00179214 0.00178975 6.37887E-6
4.1 0.00114114 0.00113898 5.26249E-6
4.2 0.000716744 0.000714806 4.36551E-6
4.3 0.000447542 0.000445813 3.64277E-6
4.4 0.000280306 0.000278762 3.05863E-6
4.5 0.000177823 0.000176439 2.5849E-6
4.6 0.000115378 0.000114129 2.19932E-6
4.7 7.72121E-5 7.60779E-5 1.88426E-6
4.8 5.35903E-5 5.25536E-5 1.62577E-6
4.9 3.86382E-5 3.76847E-5 1.41277E-6
5 2.887E-5 2.79881E-5 1.23648E-6
