VV FullAbs ResPart Thermal
-5 0.0115194 0.0115155 0.0002256
-4.9 0.01299 0.0129858 0.000404396
-4.8 0.0146847 0.0146801 0.000717259
-4.7 0.016651 0.016646 0.001252
-4.6 0.0189527 0.0189473 0.00214345
-4.5 0.0216731 0.0216673 0.0035913
-4.4 0.0249161 0.0249099 0.00587997
-4.3 0.0288026 0.0287959 0.00939803
-4.2 0.0334589 0.0334519 0.0146533
-4.1 0.0389924 0.0389851 0.0222764
-4 0.0454509 0.0454436 0.0329869
-3.9 0.0527649 0.052758 0.0474415
-3.8 0.0606657 0.0606595 0.0657938
-3.7 0.0685563 0.0685512 0.0868833
-3.6 0.0753689 0.0753647 0.107625
-3.5 0.0796202 0.0796163 0.123806
-3.4 0.0799478 0.0799436 0.132133
-3.3 0.0759232 0.0759183 0.131249
-3.2 0.0685038 0.0684977 0.121278
-3.1 0.0597348 0.059727 0.103929
-3 0.0517959 0.0517863 0.0828095
-2.9 0.0459444 0.0459338 0.062062
-2.8 0.0422702 0.0422595 0.0444126
-2.7 0.040313 0.0403024 0.030705
-2.6 0.0396103 0.0395997 0.0206379
-2.5 0.0398511 0.0398404 0.0135209
-2.4 0.0408537 0.040843 0.00864553
-2.3 0.0425228 0.0425118 0.00540497
-2.2 0.0448187 0.0448074 0.00331702
-2.1 0.0477384 0.0477266 0.0020187
-2 0.0513031 0.0512908 0.00125183
-1.9 0.055551 0.0555381 0.000846884
-1.8 0.0605318 0.0605182 0.000709468
-1.7 0.0663039 0.0662895 0.000813466
-1.6 0.0729334 0.0729181 0.00120399
-1.5 0.0804938 0.0804775 0.00201318
-1.4 0.0890663 0.0890489 0.00349186
-1.3 0.0987381 0.0987196 0.00605949
-1.2 0.109593 0.109574 0.010373
-1.1 0.121687 0.121667 0.0174096
-1 0.134999 0.134978 0.0285474
-0.9 0.149349 0.149328 0.0456075
-0.8 0.164323 0.164303 0.0707774
-0.7 0.179234 0.179215 0.10626
-0.6 0.193232 0.193215 0.153357
-0.5 0.205512 0.205498 0.210743
-0.4 0.21545 0.215438 0.272814
-0.3 0.222535 0.222526 0.331123
-0.2 0.226358 0.226352 0.37974
-0.1 0.226933 0.226927 0.417593
0 0.224884 0.224878 0.445078
0.1 0.221031 0.221025 0.461835
0.2 0.215892 0.215885 0.467225
0.3 0.209572 0.209564 0.460944
0.4 0.201766 0.201757 0.443181
0.5 0.191801 0.19179 0.414389
0.6 0.179172 0.179157 0.374421
0.7 0.164507 0.164488 0.322447
0.8 0.149794 0.149771 0.260807
0.9 0.13696 0.136936 0.197519
1 0.126727 0.126704 0.141261
1.1 0.118956 0.118933 0.0964578
1.2 0.113223 0.113202 0.0634112
1.3 0.109097 0.109077 0.040351
1.4 0.106217 0.106199 0.0249457
1.5 0.104313 0.104296 0.0150253
1.6 0.103194 0.103178 0.00884031
1.7 0.102724 0.102709 0.00509499
1.8 0.102809 0.102795 0.00288668
1.9 0.103377 0.103363 0.00161598
2 0.104365 0.104351 0.000900562
2.1 0.10571 0.105697 0.000505067
2.2 0.107338 0.107326 0.000289221
2.3 0.109157 0.109145 0.000171951
2.4 0.111048 0.111037 0.00010774
2.5 0.112862 0.112851 7.17208E-5
2.6 0.114414 0.114404 5.06376E-5
2.7 0.115489 0.11548 3.75618E-5
2.8 0.11585 0.115841 2.8915E-5
2.9 0.11525 0.115242 2.28479E-5
3 0.113461 0.113453 1.83872E-5
3.1 0.110299 0.110292 1.49986E-5
3.2 0.105657 0.105649 1.23699E-5
3.3 0.0995281 0.099521 1.03037E-5
3.4 0.0920268 0.0920196 8.6661E-6
3.5 0.0833864 0.0833792 7.36058E-6
3.6 0.0739451 0.0739377 6.31482E-6
3.7 0.0641121 0.0641045 5.4733E-6
3.8 0.0543212 0.0543135 4.79286E-6
3.9 0.0449805 0.0449727 4.23971E-6
4 0.0364252 0.0364175 3.7873E-6
4.1 0.0288865 0.0288789 3.41477E-6
4.2 0.0224793 0.022472 3.10568E-6
4.3 0.0172108 0.0172038 2.8471E-6
4.4 0.013004 0.0129975 2.62884E-6
4.5 0.00972883 0.00972275 2.4429E-6
4.6 0.00723153 0.00722594 2.28295E-6
4.7 0.00535831 0.0053532 2.14402E-6
4.8 0.00397022 0.00396557 2.02218E-6
4.9 0.00295021 0.00294596 1.91433E-6
5 0.0022045 0.00220063 1.81801E-6
