VV FullAbs ResPart Thermal
-5 0.00527289 0.00527196 0.000464377
-4.9 0.0058243 0.00582333 0.000639658
-4.8 0.00637828 0.00637726 0.000896903
-4.7 0.0069319 0.00693083 0.00127807
-4.6 0.00748511 0.00748399 0.00184422
-4.5 0.00804131 0.00804014 0.00268024
-4.4 0.00860779 0.00860656 0.00389682
-4.3 0.0091957 0.00919441 0.0056258
-4.2 0.00981897 0.00981763 0.00800419
-4.1 0.0104913 0.0104899 0.0111428
-4 0.0112206 0.0112192 0.0150797
-3.9 0.0120005 0.0119991 0.0197269
-3.8 0.012802 0.0128006 0.0248262
-3.7 0.0135705 0.013569 0.02994
-3.6 0.0142338 0.0142322 0.0344974
-3.5 0.0147248 0.0147232 0.0378969
-3.4 0.01501 0.0150083 0.0396423
-3.3 0.0151097 0.0151078 0.0394655
-3.2 0.0150969 0.0150948 0.0373958
-3.1 0.0150747 0.0150726 0.0337532
-3 0.015144 0.0151416 0.0290652
-2.9 0.0153793 0.0153768 0.0239385
-2.8 0.0158248 0.0158221 0.0189266
-2.7 0.0165025 0.0164997 0.0144364
-2.6 0.0174256 0.0174226 0.0106939
-2.5 0.0186056 0.0186026 0.00776183
-2.4 0.0200555 0.0200524 0.00558763
-2.3 0.0217871 0.0217839 0.00405692
-2.2 0.0238076 0.0238043 0.00303792
-2.1 0.0261163 0.026113 0.00241048
-2 0.0287016 0.0286982 0.00208084
-1.9 0.0315395 0.0315361 0.00198657
-1.8 0.0345936 0.03459 0.00209688
-1.7 0.037816 0.0378124 0.00241259
-1.6 0.0411506 0.0411468 0.0029686
-1.5 0.0445362 0.0445324 0.00384116
-1.4 0.0479121 0.0479082 0.00516091
-1.3 0.0512238 0.0512198 0.00713222
-1.2 0.0544295 0.0544254 0.010057
-1.1 0.0575077 0.0575034 0.0143568
-1 0.0604628 0.0604583 0.0205817
-0.9 0.063328 0.0633234 0.0293851
-0.8 0.0661625 0.0661578 0.0414405
-0.7 0.0690386 0.0690339 0.0572833
-0.6 0.0720187 0.072014 0.0770895
-0.5 0.0751245 0.0751199 0.100451
-0.4 0.07831 0.0783054 0.126257
-0.3 0.0814542 0.0814497 0.152773
-0.2 0.0843843 0.08438 0.177938
-0.1 0.0869208 0.0869165 0.199725
0 0.088919 0.0889147 0.216437
0.1 0.0902904 0.090286 0.226844
0.2 0.0910048 0.0910004 0.230206
0.3 0.0910908 0.0910862 0.226254
0.4 0.0906424 0.0906376 0.215193
0.5 0.0898221 0.0898172 0.197732
0.6 0.0888364 0.0888312 0.175136
0.7 0.0878775 0.0878721 0.149215
0.8 0.0870649 0.0870593 0.122149
0.9 0.0864247 0.0864191 0.0961291
1 0.0859134 0.0859078 0.0729218
1.1 0.0854574 0.0854518 0.0535678
1.2 0.0849831 0.0849777 0.0383458
1.3 0.0844305 0.0844252 0.0269479
1.4 0.083754 0.0837489 0.0187417
1.5 0.0829188 0.0829138 0.0130029
1.6 0.0818952 0.0818904 0.00906518
1.7 0.0806535 0.0806489 0.00638808
1.8 0.0791591 0.0791547 0.00456846
1.9 0.077369 0.0773648 0.0033223
2 0.0752298 0.0752258 0.0024572
2.1 0.0726795 0.0726757 0.00184605
2.2 0.0696525 0.0696488 0.00140593
2.3 0.06609 0.0660864 0.00108294
2.4 0.0619535 0.06195 0.000841788
2.5 0.0572394 0.0572358 0.000659061
2.6 0.0519909 0.0519873 0.000518921
2.7 0.0463052 0.0463015 0.000410401
2.8 0.0403316 0.0403279 0.000325729
2.9 0.0342626 0.0342588 0.00025927
3 0.0283154 0.0283116 0.00020686
3.1 0.0227094 0.0227055 0.000165375
3.2 0.0176386 0.0176347 0.000132435
3.3 0.0132478 0.0132439 0.000106216
3.4 0.00961465 0.00961083 8.53021E-5
3.5 0.00674479 0.00674109 6.85923E-5
3.6 0.00458064 0.00457713 5.52224E-5
3.7 0.00302073 0.00301746 4.45123E-5
3.8 0.00194331 0.00194033 3.59244E-5
3.9 0.00122757 0.00122489 2.90324E-5
4 0.00076796 0.000765571 2.34972E-5
4.1 0.000480847 0.000478723 1.90488E-5
4.2 0.000304974 0.000303081 1.54711E-5
4.3 0.000198294 0.000196599 1.25919E-5
4.4 0.000133461 0.000131935 1.0273E-5
4.5 9.3461E-5 9.20759E-5 8.40381E-6
4.6 6.80709E-5 6.6806E-5 6.89573E-6
4.7 5.13109E-5 5.01487E-5 5.67773E-6
4.8 3.97412E-5 3.86674E-5 4.69286E-6
4.9 3.13957E-5 3.03988E-5 3.89542E-6
5 2.51438E-5 2.42142E-5 3.24878E-6
