VV FullAbs ResPart Thermal
-5 0.00977349 0.0097703 0.000388995
-4.9 0.0109315 0.010928 0.000634268
-4.8 0.0122744 0.0122706 0.00103332
-4.7 0.0138437 0.0138396 0.00166978
-4.6 0.0156934 0.015689 0.00266157
-4.5 0.0178914 0.0178867 0.00416825
-4.4 0.0205183 0.0205131 0.00639763
-4.3 0.0236618 0.0236563 0.00961214
-4.2 0.0274061 0.0274004 0.0141379
-4.1 0.0318135 0.0318075 0.020378
-4 0.0368974 0.0368915 0.0288171
-3.9 0.0425907 0.0425849 0.0399531
-3.8 0.0486961 0.0486909 0.0540111
-3.7 0.0547874 0.054783 0.0703235
-3.6 0.0600618 0.0600581 0.0867157
-3.5 0.06331 0.0633064 0.0998469
-3.4 0.0633224 0.0633184 0.106751
-3.3 0.0597068 0.0597023 0.106015
-3.2 0.0534526 0.053447 0.0977787
-3.1 0.0465723 0.0465652 0.0837739
-3 0.0409603 0.0409518 0.0671664
-2.9 0.0374431 0.0374341 0.0511711
-2.8 0.035861 0.035852 0.0376613
-2.7 0.0357216 0.0357127 0.0270785
-2.6 0.036592 0.0365832 0.0191092
-2.5 0.0381731 0.0381643 0.0132461
-2.4 0.0402744 0.0402655 0.00902043
-2.3 0.0427853 0.0427763 0.00604752
-2.2 0.0456545 0.0456453 0.00401911
-2.1 0.0488756 0.048866 0.00269203
-2 0.0524758 0.0524658 0.0018826
-1.9 0.0565074 0.0564969 0.00146467
-1.8 0.0610392 0.0610281 0.00137
-1.7 0.0661509 0.0661391 0.00159184
-1.6 0.0719281 0.0719155 0.00219384
-1.5 0.0784594 0.0784459 0.00332649
-1.4 0.0858341 0.0858196 0.00525232
-1.3 0.0941377 0.0941223 0.00837925
-1.2 0.10344 0.103424 0.0132985
-1.1 0.11377 0.113753 0.0208197
-1 0.125065 0.125047 0.0319911
-0.9 0.137114 0.137097 0.0480877
-0.8 0.149507 0.14949 0.0705334
-0.7 0.161652 0.161637 0.100676
-0.6 0.172912 0.172898 0.139225
-0.5 0.182785 0.182773 0.18514
-0.4 0.190956 0.190946 0.234349
-0.3 0.197151 0.197143 0.280339
-0.2 0.201009 0.201002 0.317944
-0.1 0.202298 0.202292 0.346097
0 0.201267 0.201262 0.365776
0.1 0.198509 0.198504 0.377495
0.2 0.194453 0.194447 0.381185
0.3 0.189094 0.189087 0.376747
0.4 0.181963 0.181955 0.364231
0.5 0.17236 0.17235 0.3435
0.6 0.160185 0.160171 0.313517
0.7 0.146756 0.146739 0.273126
0.8 0.134169 0.13415 0.22468
0.9 0.123739 0.123719 0.174785
1 0.115656 0.115637 0.129839
1.1 0.109575 0.109557 0.0929752
1.2 0.105033 0.105016 0.0645584
1.3 0.101614 0.101599 0.0436123
1.4 0.0989986 0.0989845 0.028733
1.5 0.0969572 0.0969442 0.0185088
1.6 0.0953341 0.095322 0.0116958
1.7 0.0940226 0.0940113 0.0072815
1.8 0.0929454 0.0929348 0.00449178
1.9 0.0920378 0.0920279 0.00276536
2 0.0912364 0.0912271 0.00171401
2.1 0.09047 0.0904612 0.00108003
2.2 0.0896546 0.0896464 0.00069852
2.3 0.0886915 0.0886838 0.000467246
2.4 0.0874685 0.0874613 0.000324512
2.5 0.0858656 0.0858588 0.0002339
2.6 0.0837636 0.0837572 0.000174251
2.7 0.0810561 0.08105 0.000133379
2.8 0.0776632 0.0776574 0.000104258
2.9 0.0735445 0.0735389 8.27908E-5
3 0.0687101 0.0687045 6.65274E-5
3.1 0.0632261 0.0632206 5.39488E-5
3.2 0.0572148 0.0572093 4.40711E-5
3.3 0.0508461 0.0508407 3.62276E-5
3.4 0.044324 0.0443186 2.9947E-5
3.5 0.0378666 0.0378613 2.48846E-5
3.6 0.0316846 0.0316793 2.07819E-5
3.7 0.0259602 0.025955 1.74412E-5
3.8 0.0208313 0.0208262 1.47091E-5
3.9 0.0163815 0.0163765 1.24658E-5
4 0.0126393 0.0126344 1.06169E-5
4.1 0.009584 0.00957934 9.08752E-6
4.2 0.00715782 0.0071534 7.81787E-6
4.3 0.00527947 0.00527531 6.7602E-6
4.4 0.00385777 0.00385389 5.87613E-6
4.5 0.00280251 0.00279891 5.13466E-6
4.6 0.00203176 0.00202843 4.51068E-6
4.7 0.00147582 0.00147276 3.98382E-6
4.8 0.00107833 0.0010755 3.53744E-6
4.9 0.00079551 0.000792908 3.15794E-6
5 0.000594482 0.000592079 2.83419E-6
