VV FullAbs ResPart Thermal
-5 0.00507761 0.00507674 0.000307304
-4.9 0.00566707 0.00566615 0.00044018
-4.8 0.00626175 0.00626079 0.000641823
-4.7 0.00685384 0.00685282 0.000946017
-4.6 0.00743875 0.00743768 0.00139879
-4.5 0.00801735 0.00801622 0.0020597
-4.4 0.00859759 0.0085964 0.00300143
-4.3 0.00919439 0.00919314 0.00430673
-4.2 0.00982697 0.00982565 0.00606208
-4.1 0.0105141 0.0105127 0.00834733
-4 0.0112683 0.0112669 0.0112207
-3.9 0.0120893 0.0120878 0.0146962
-3.8 0.0129548 0.0129533 0.0187071
-3.7 0.0138072 0.0138058 0.0230466
-3.6 0.0145379 0.0145365 0.0272904
-3.5 0.0149878 0.0149863 0.0307614
-3.4 0.0150041 0.0150025 0.0326665
-3.3 0.0145519 0.0145501 0.0324653
-3.2 0.0137826 0.0137807 0.0302211
-3.1 0.012957 0.0129548 0.0265559
-3 0.0122923 0.01229 0.022264
-2.9 0.0118916 0.0118892 0.0179786
-2.8 0.011781 0.0117784 0.0140783
-2.7 0.0119655 0.0119629 0.0107383
-2.6 0.012453 0.0124502 0.00800774
-2.5 0.0132561 0.0132533 0.00586328
-2.4 0.0143902 0.0143873 0.0042431
-2.3 0.0158698 0.0158668 0.00306768
-2.2 0.0177059 0.0177029 0.00225433
-2.1 0.0199034 0.0199002 0.00172731
-2 0.0224578 0.0224546 0.00142475
-1.9 0.0253535 0.0253502 0.001303
-1.8 0.0285621 0.0285587 0.00133957
-1.7 0.0320422 0.0320387 0.00153625
-1.6 0.03574 0.0357364 0.00192348
-1.5 0.0395918 0.039588 0.00256718
-1.4 0.0435283 0.0435243 0.0035785
-1.3 0.0474806 0.0474765 0.0051259
-1.2 0.0513898 0.0513854 0.00744803
-1.1 0.0552162 0.0552117 0.0108639
-1 0.0589491 0.0589444 0.0157752
-0.9 0.0626108 0.062606 0.0226545
-0.8 0.0662558 0.0662508 0.0320106
-0.7 0.0699599 0.0699548 0.0443245
-0.6 0.0738011 0.0737959 0.0599465
-0.5 0.0778279 0.0778227 0.0789454
-0.4 0.0820163 0.0820112 0.100911
-0.3 0.0862135 0.0862087 0.124748
-0.2 0.0900873 0.0900828 0.148587
-0.1 0.0931423 0.0931381 0.170057
0 0.0948706 0.0948667 0.186931
0.1 0.0949378 0.094934 0.197682
0.2 0.0932136 0.0932096 0.201444
0.3 0.0897318 0.0897275 0.197685
0.4 0.0848038 0.0847992 0.18633
0.5 0.0791097 0.0791047 0.168278
0.6 0.0734612 0.0734559 0.14559
0.7 0.0684186 0.068413 0.120967
0.8 0.0641624 0.0641569 0.0968988
0.9 0.060642 0.0606366 0.0751231
1 0.0577379 0.0577328 0.0565554
1.1 0.0553274 0.0553226 0.0414655
1.2 0.0532946 0.05329 0.0296945
1.3 0.0515312 0.051527 0.0208402
1.4 0.0499386 0.0499346 0.0143938
1.5 0.0484292 0.0484255 0.00983425
1.6 0.0469277 0.0469242 0.00668854
1.7 0.0453711 0.0453678 0.00456093
1.8 0.0437084 0.0437054 0.00314152
1.9 0.0418998 0.0418969 0.0022005
2 0.039916 0.0399133 0.00157522
2.1 0.0377389 0.0377363 0.001155
2.2 0.0353615 0.035359 0.000867007
2.3 0.0327899 0.0327875 0.000664484
2.4 0.0300439 0.0300416 0.000517953
2.5 0.0271585 0.0271562 0.000408957
2.6 0.0241827 0.0241804 0.000325893
2.7 0.0211781 0.0211759 0.000261354
2.8 0.0182149 0.0182127 0.00021048
2.9 0.0153657 0.0153636 0.000169969
3 0.0126998 0.0126976 0.000137491
3.1 0.0102755 0.0102734 0.000111341
3.2 0.0081358 0.00813374 9.02301E-5
3.3 0.00630402 0.00630202 7.31626E-5
3.4 0.0047837 0.00478175 5.93539E-5
3.5 0.00356028 0.00355842 4.81788E-5
3.6 0.00260521 0.00260344 3.91347E-5
3.7 0.001881 0.00187934 3.18163E-5
3.8 0.00134651 0.00134497 2.58949E-5
3.9 0.000961409 0.00095999 2.11042E-5
4 0.000689394 0.000688098 1.72281E-5
4.1 0.000499958 0.000498777 1.40913E-5
4.2 0.00036894 0.000367864 1.15517E-5
4.3 0.000278166 0.000277183 9.49424E-6
4.4 0.000214569 0.000213667 7.82592E-6
4.5 0.000169115 0.000168284 6.47154E-6
4.6 0.000135758 0.000134989 5.37043E-6
4.7 0.000110552 0.000109837 4.47372E-6
4.8 9.09614E-5 9.02947E-5 3.74202E-6
4.9 7.53649E-5 7.47406E-5 3.14366E-6
5 6.27147E-5 6.21281E-5 2.65317E-6
