A; B; C; 
-84.8029; -0.2301; 0.1; 
-83.2189; 0.028; 0.1; 
-81.6349; -0.0946; 0.1; 
-80.0509; 0.0301; 0.1; 
-78.6441; -0.0344; 0.1; 
-76.7083; -0.2516; 0.1; 
-75.2988; 0.0215; 0.1; 
-73.7147; 0.3269; 0.1; 
-72.1307; -0.1333; 0.1; 
-70.7239; 0.0215; 0.1; 
-68.9627; 0.3656; 0.1; 
-67.2014; -0.0129; 0.1; 
-65.6174; -0.1806; 0.1; 
-64.0333; 0.1118; 0.1; 
-62.6266; 0.1634; 0.1; 
-61.0425; 0.1032; 0.1; 
-59.4585; 0.028; 0.1; 
-57.6972; -0.0581; 0.1; 
-56.2904; -0.1441; 0.1; 
-54.7064; 0.1075; 0.1; 
-52.9452; -0.1011; 0.1; 
-51.5384; 0.0882; 0.1; 
-49.7771; 0.1247; 0.1; 
-48.3703; 0.0839; 0.1; 
-46.7863; 0.0301; 0.1; 
-45.025; -0.0344; 0.1; 
-43.2638; -0.0129; 0.1; 
-42.0314; 0.2473; 0.1; 
-40.4474; 0.1677; 0.1; 
-39.0406; 0.0516; 0.1; 
-37.2794; -0.0151; 0.1; 
-35.3436; -0.0839; 0.1; 
-34.1113; 0.0108; 0.1; 
-32.5273; 0.1806; 0.1; 
-30.9433; 0.1376; 0.1; 
-29.3592; 0.0774; 0.1; 
-27.7752; -0.1591; 0.1; 
-26.1912; -0.0043; 0.1; 
-24.6071; 0.1419; 0.1; 
-22.8459; -0.0194; 0.1; 
-21.2619; -0.0065; 0.1; 
-19.3261; 0.0559; 0.1; 
-18.271; 0.1892; 0.1; 
-16.5098; 0.1914; 0.1; 
-14.9257; 0.0688; 0.1; 
-13.519; 0.3118; 0.1; 
-11.9349; 0.2882; 0.1; 
-10.1737; 0.3097; 0.1; 
-8.58964; 0.3097; 0.1; 
-7.00561; 0.3656; 0.1; 
-5.42159; 0.5054; 0.1; 
-3.66033; 0.6409; 0.1; 
-2.25353; 0.6946; 0.1; 
-0.846741; 0.8581; 0.1; 
0.562821; 0.8495; 0.1; 
2.49855; 0.7183; 0.1; 
3.90811; 0.4989; 0.1; 
5.6666; 0.2108; 0.1; 
7.25063; 0.1914; 0.1; 
8.83465; 0.1849; 0.1; 
10.4187; 0.1763; 0.1; 
11.8282; 0.1054; 0.1; 
13.5867; -0.0989; 0.1; 
14.6446; 0.2108; 0.1; 
16.5803; 0.243; 0.1; 
18.3388; 0.1914; 0.1; 
19.7484; 0.0731; 0.1; 
21.5069; -0.1763; 0.1; 
22.7392; 0.0495; 0.1; 
24.3232; 0.0903; 0.1; 
26.0845; 0.0516; 0.1; 
27.8457; -0.0516; 0.1; 
29.2525; -0.0258; 0.1; 
30.8366; 0.0237; 0.1; 
32.4206; 0.0151; 0.1; 
34.0046; -0.1462; 0.1; 
35.5886; -0.0301; 0.1; 
36.9982; -0.172; 0.1; 
38.7567; -0.1957; 0.1; 
40.3407; -0.157; 0.1; 
41.7503; -0.0151; 0.1; 
43.5088; -0.1505; 0.1; 
45.0928; -0.2409; 0.1; 
46.6768; -0.1505; 0.1; 
48.4381; -0.0043; 0.1; 
50.0221; 0.1634; 0.1; 
51.4317; -0.0172; 0.1; 
53.0157; -0.1204; 0.1; 
54.7742; -0.0602; 0.1; 
56.1838; -0.1333; 0.1; 
57.5906; -0.2022; 0.1; 
59.3518; -0.0774; 0.1; 
60.7586; 0.0516; 0.1; 
62.3426; -0.0194; 0.1; 
63.7522; -0.0753; 0.1; 
66.0396; -0.0946; 0.1; 
67.0947; 0.0946; 0.1; 
68.856; 0.1032; 0.1; 
70.2628; 0.0151; 0.1; 
71.8468; -0.0645; 0.1; 
nan; nan; 0.1; 
