A; B; C; 
-58.1556; 0.84; 0.5; 
-55.3863; 1.08; 0.5; 
-52.617; 1.37; 0.5; 
-49.8477; 1.97; 0.5; 
-47.0784; 2.96; 0.5; 
-44.3091; 2.46; 0.5; 
-41.5397; 2.06; 0.5; 
-38.7704; 2.15; 0.5; 
-36.0011; 2.63; 0.5; 
-33.2318; 3.28; 0.5; 
-30.4625; 3.25; 0.5; 
-27.6932; 2.57; 0.5; 
-24.9238; 1.57; 0.5; 
-22.1545; 1.28; 0.5; 
-19.3852; 1.51; 0.5; 
-16.6159; 2.34; 0.5; 
-13.8466; 3.23; 0.5; 
-11.0773; 4.2; 0.5; 
-8.30795; 5.05; 0.5; 
-5.53863; 5.93; 0.5; 
-2.76932; 6.59; 0.5; 
0; 6.82; 0.5; 
2.76932; 6.64; 0.5; 
5.53863; 6.37; 0.5; 
8.30795; 5.36; 0.5; 
11.0773; 4.43; 0.5; 
13.8466; 4.07; 0.5; 
16.6159; 4.07; 0.5; 
19.3852; 3.79; 0.5; 
22.1545; 2.34; 0.5; 
24.9238; 1.51; 0.5; 
27.6932; 1.35; 0.5; 
27.6932; 1.37; 0.5; 
30.4625; 1.62; 0.5; 
33.2318; 2.21; 0.5; 
36.0011; 1.53; 0.5; 
38.7704; 0.78; 0.5; 
41.5397; 0.55; 0.5; 
44.3091; 0; 0.5; 
47.0784; -0.26; 0.5; 
49.8477; -0.04; 0.5; 
