VV FullAbs ResPart Thermal
-5 0.00174936 0.0017489 9.48855E-5
-4.9 0.00206028 0.0020598 0.000129803
-4.8 0.00240394 0.00240343 0.000183925
-4.7 0.00277429 0.00277375 0.00026957
-4.6 0.00316274 0.00316217 0.000406089
-4.5 0.00355988 0.00355927 0.000622514
-4.4 0.00395868 0.00395804 0.000960145
-4.3 0.00435818 0.0043575 0.00147419
-4.2 0.00476561 0.0047649 0.00223325
-4.1 0.00519511 0.00519437 0.00331503
-4 0.00566291 0.00566213 0.00479637
-3.9 0.00618052 0.00617971 0.00673522
-3.8 0.00674696 0.00674614 0.00913951
-3.7 0.00733779 0.007337 0.0119151
-3.6 0.0078886 0.00788787 0.0147893
-3.5 0.00828446 0.00828373 0.0172518
-3.4 0.00839123 0.00839045 0.0186443
-3.3 0.00814368 0.00814284 0.018494
-3.2 0.00761589 0.00761496 0.0168569
-3.1 0.00697985 0.00697883 0.0142732
-3 0.00638876 0.00638763 0.0113923
-2.9 0.00591368 0.00591249 0.00867992
-2.8 0.00556796 0.00556671 0.00636898
-2.7 0.00534865 0.00534737 0.00452943
-2.6 0.0052539 0.00525257 0.00314106
-2.5 0.00528487 0.00528348 0.00214096
-2.4 0.00544507 0.00544362 0.00145163
-2.3 0.00574028 0.00573877 0.000997303
-2.2 0.00617892 0.00617734 0.000712742
-2.1 0.00677236 0.0067707 0.000546808
-2 0.00753494 0.0075332 0.000462701
-1.9 0.00848357 0.00848174 0.00043647
-1.8 0.00963655 0.00963462 0.000455109
-1.7 0.0110116 0.0110096 0.000515258
-1.6 0.0126229 0.0126208 0.000623274
-1.5 0.0144771 0.0144748 0.000797311
-1.4 0.0165689 0.0165665 0.00107203
-1.3 0.0188782 0.0188757 0.00150645
-1.2 0.0213687 0.0213661 0.0021953
-1.1 0.0239928 0.02399 0.00328337
-1 0.026701 0.0266981 0.00498124
-0.9 0.0294558 0.0294527 0.00757861
-0.8 0.0322445 0.0322412 0.0114489
-0.7 0.0350864 0.035083 0.0170356
-0.6 0.0380311 0.0380276 0.0248076
-0.5 0.0411427 0.0411391 0.0351661
-0.4 0.0444629 0.0444594 0.0482809
-0.3 0.0479491 0.0479456 0.0638431
-0.2 0.0513971 0.0513939 0.0807931
-0.1 0.054416 0.0544129 0.0972667
0 0.0565361 0.0565334 0.111054
0.1 0.057391 0.0573884 0.120317
0.2 0.0567764 0.0567738 0.123807
0.3 0.054629 0.0546262 0.12071
0.4 0.0511378 0.0511347 0.111007
0.5 0.0468574 0.0468541 0.0961083
0.6 0.0425007 0.0424972 0.078606
0.7 0.0385674 0.0385637 0.0611622
0.8 0.0352249 0.0352212 0.0456105
0.9 0.032452 0.0324485 0.0328004
1 0.0301803 0.030177 0.0228637
1.1 0.0283392 0.0283361 0.0155239
1.2 0.0268591 0.0268561 0.0103249
1.3 0.0256693 0.0256665 0.00677389
1.4 0.0246996 0.024697 0.00442223
1.5 0.0238824 0.02388 0.0029025
1.6 0.0231546 0.0231524 0.00193628
1.7 0.0224591 0.022457 0.00132568
1.8 0.0217456 0.0217437 0.000937401
1.9 0.0209717 0.0209699 0.000685687
2 0.0201026 0.020101 0.000517387
2.1 0.0191128 0.0191113 0.000400471
2.2 0.0179865 0.0179851 0.000315954
2.3 0.0167189 0.0167175 0.000252618
2.4 0.0153176 0.0153163 0.000203749
2.5 0.0138033 0.013802 0.000165219
2.6 0.0122094 0.0122082 0.000134382
2.7 0.0105804 0.0105792 0.00010946
2.8 0.00896796 0.00896673 8.91969E-5
2.9 0.00742592 0.0074247 7.26668E-5
3 0.00600413 0.00600293 5.91608E-5
3.1 0.00474257 0.00474139 4.81219E-5
3.2 0.00366681 0.00366566 3.91037E-5
3.3 0.00278595 0.00278484 3.17437E-5
3.4 0.00209323 0.00209218 2.57449E-5
3.5 0.00156924 0.00156826 2.0863E-5
3.6 0.00118661 0.00118569 1.68965E-5
3.7 0.000915039 0.0009142 1.36789E-5
3.8 0.000725638 0.000724879 1.1073E-5
3.9 0.000593731 0.000593049 8.96568E-6
4 0.000500131 0.000499517 7.26378E-6
4.1 0.000431094 0.000430539 5.89096E-6
4.2 0.000377489 0.000376984 4.78469E-6
4.3 0.00033364 0.000333178 3.89387E-6
4.4 0.000296222 0.000295796 3.17691E-6
4.5 0.000263367 0.000262972 2.6E-6
4.6 0.000234046 0.000233678 2.13572E-6
4.7 0.000207677 0.000207332 1.76191E-6
4.8 0.000183903 0.000183579 1.46069E-6
4.9 0.000162477 0.000162171 1.21767E-6
5 0.000143199 0.000142911 1.02128E-6
