VV FullAbs ResPart Thermal
-4 0.00698097 0.00697939 0.0052384
-3.8 0.0116674 0.0116665 0.0122305
-3.6 0.0165164 0.0165158 0.0215674
-3.4 0.0178625 0.0178618 0.0272201
-3.2 0.0143582 0.0143573 0.0246834
-3 0.0090258 0.00902411 0.0160061
-2.8 0.00577627 0.00577386 0.00759611
-2.6 0.00504032 0.00503807 0.00290513
-2.4 0.00555093 0.00554884 0.0010001
-2.2 0.00657227 0.00657017 0.000346724
-2 0.00787806 0.00787582 0.000152016
-1.8 0.00942663 0.00942414 0.000120713
-1.6 0.0112425 0.0112396 0.000179371
-1.4 0.0133974 0.0133939 0.00038803
-1.2 0.0160905 0.0160861 0.00103946
-1 0.0199146 0.019909 0.00307596
-0.8 0.0263 0.0262932 0.0091139
-0.6 0.0371257 0.0371193 0.0246273
-0.4 0.0510774 0.0510736 0.0538007
-0.2 0.0616579 0.0616559 0.0874017
0 0.0654724 0.065471 0.111183
0.2 0.064482 0.0644804 0.11955
0.4 0.0594826 0.0594804 0.110756
0.6 0.0484038 0.0483999 0.0857418
0.8 0.0341446 0.0341368 0.0503909
1 0.0256478 0.0256401 0.0217388
1.2 0.022834 0.0228281 0.00774668
1.4 0.0221317 0.0221273 0.00257228
1.6 0.0219412 0.0219377 0.000869541
1.8 0.0217395 0.0217366 0.000326539
2 0.0212515 0.021249 0.000143753
2.2 0.0202235 0.0202213 7.29319E-5
2.4 0.0184195 0.0184176 4.04541E-5
2.6 0.0157309 0.0157291 2.35832E-5
2.8 0.0123222 0.0123205 1.42017E-5
3 0.00867115 0.00866953 8.79447E-6
3.2 0.00539548 0.00539393 5.60248E-6
3.4 0.0029501 0.00294867 3.67786E-6
3.6 0.0014323 0.00143102 2.49251E-6
3.8 0.000641183 0.000640102 1.74636E-6
4 0.000285385 0.000284497 1.26601E-6
