VV FullAbs ResPart Thermal
-5 0.00269009 0.00268924 0.000151054
-4.9 0.00297084 0.00296993 0.000216069
-4.8 0.00326956 0.00326857 0.000317394
-4.7 0.00359303 0.00359193 0.00047733
-4.6 0.00395442 0.00395321 0.000730973
-4.5 0.00437791 0.00437656 0.00113205
-4.4 0.00490461 0.00490311 0.00176013
-4.3 0.00559797 0.00559632 0.00272853
-4.2 0.00654473 0.00654295 0.00419032
-4.1 0.0078438 0.00784197 0.00633517
-4 0.00957368 0.00957194 0.00936037
-3.9 0.0117333 0.0117319 0.0133903
-3.8 0.0141748 0.0141736 0.0183354
-3.7 0.0165786 0.0165776 0.0237547
-3.6 0.0185206 0.0185196 0.0288678
-3.5 0.0196107 0.0196096 0.0327856
-3.4 0.0196199 0.0196188 0.0348102
-3.3 0.0185475 0.0185463 0.0345967
-3.2 0.0166368 0.0166354 0.0321813
-3.1 0.0143385 0.0143369 0.0279804
-3 0.0121766 0.0121744 0.0227465
-2.9 0.0105495 0.0105468 0.0173729
-2.8 0.00960824 0.00960535 0.0125878
-2.7 0.00929416 0.00929128 0.00876076
-2.6 0.00946109 0.00945827 0.00592902
-2.5 0.00997139 0.00996864 0.00394599
-2.4 0.0107306 0.0107278 0.00261258
-2.3 0.011683 0.0116803 0.00174631
-2.2 0.0127969 0.0127942 0.00120374
-2.1 0.0140522 0.0140494 0.00088123
-2 0.015433 0.0154301 0.000708755
-1.9 0.0169251 0.016922 0.00064284
-1.8 0.0185149 0.0185117 0.000661029
-1.7 0.0201899 0.0201865 0.000758747
-1.6 0.0219398 0.0219361 0.000949188
-1.5 0.0237575 0.0237536 0.00126691
-1.4 0.0256425 0.0256383 0.001776
-1.3 0.0276066 0.0276021 0.00258406
-1.2 0.029683 0.029678 0.00386303
-1.1 0.0319398 0.0319342 0.0058776
-1 0.0344918 0.0344857 0.00901932
-0.9 0.0375008 0.0374943 0.0138381
-0.8 0.041144 0.0411372 0.0210452
-0.7 0.0455329 0.0455262 0.0314255
-0.6 0.0505845 0.0505785 0.0455566
-0.5 0.0559187 0.0559138 0.0633049
-0.4 0.0609181 0.0609143 0.0834098
-0.3 0.0649938 0.0649906 0.103777
-0.2 0.0678643 0.0678617 0.122444
-0.1 0.0696138 0.0696114 0.138145
0 0.0705153 0.0705129 0.150063
0.1 0.0708206 0.0708181 0.157506
0.2 0.0706493 0.0706467 0.159936
0.3 0.0699533 0.0699506 0.157135
0.4 0.0685002 0.0684972 0.149278
0.5 0.0659262 0.0659226 0.136848
0.6 0.0620103 0.0620058 0.120458
0.7 0.0571201 0.0571139 0.100917
0.8 0.0522536 0.0522459 0.079753
0.9 0.0483767 0.0483684 0.0593504
1 0.0458261 0.0458181 0.041929
1.1 0.0443859 0.0443785 0.0284979
1.2 0.0436692 0.0436626 0.0188781
1.3 0.0433558 0.0433498 0.0123182
1.4 0.0432404 0.043235 0.00798735
1.5 0.0432034 0.0431985 0.00518855
1.6 0.043174 0.0431694 0.003403
1.7 0.043105 0.0431007 0.00226953
1.8 0.0429594 0.0429554 0.0015477
1.9 0.0427023 0.0426986 0.00108272
2 0.0422965 0.042293 0.000777407
2.1 0.0416994 0.0416962 0.000571826
2.2 0.0408629 0.0408598 0.000429392
2.3 0.0397342 0.0397314 0.000327816
2.4 0.0382614 0.0382587 0.000253436
2.5 0.0364009 0.0363983 0.000197742
2.6 0.0341279 0.0341255 0.000155305
2.7 0.0314471 0.0314446 0.00012255
2.8 0.0283999 0.0283975 9.70362E-5
2.9 0.0250682 0.0250657 7.70375E-5
3 0.0215693 0.0215668 6.12948E-5
3.1 0.0180456 0.0180431 4.88661E-5
3.2 0.0146473 0.0146448 3.90335E-5
3.3 0.0115132 0.0115108 3.12423E-5
3.4 0.00875244 0.00874999 2.50607E-5
3.5 0.00643129 0.00642889 2.01504E-5
3.6 0.00456908 0.00456675 1.62453E-5
3.7 0.0031426 0.00314038 1.31358E-5
3.8 0.00209777 0.00209569 1.06563E-5
3.9 0.00136424 0.00136232 8.67619E-6
4 0.000868953 0.000867214 7.09219E-6
4.1 0.00054592 0.000544354 5.82261E-6
4.2 0.000341299 0.000339895 4.80286E-6
4.3 0.000214584 0.000213325 3.98183E-6
4.4 0.000137257 0.000136122 3.31906E-6
4.5 9.03069E-5 8.92794E-5 2.78253E-6
4.6 6.16253E-5 6.06885E-5 2.34687E-6
4.7 4.37753E-5 4.29158E-5 1.99195E-6
4.8 3.23199E-5 3.15267E-5 1.7018E-6
4.9 2.46667E-5 2.39306E-5 1.46374E-6
5 1.932E-5 1.86338E-5 1.26766E-6
